SZÉV igény szám,Státusz,Felelős,Igény dátuma,Fizetendő,Gépállás,Teljesítés dátuma,Áttárolás száma,Msz,Megrendelő,Géptípus,Igény,Megjegyzés (email) ,Megjegyzés GYE,Igénylő,
SZÉV2022-226,TRUE,GYE,05.09.,,0,05.17.,,M18099,Plasma-tech systems kft.,KAFO-NCT CV-7A," AiS 100-LW 26 H (D) (Nr.: CC2-10-4014) tekercselés, csapágyazás","2 db FAG HCB7208-C-T-P4S-UL
1 db NSK 6206TCG12P4",,DÁ,
SZÉV2022-227,TRUE,GYE,05.09.,,0,05.18.,,M15303,MVM-OVIT,HBM-4,Z golyósorsó csapágyak,6 db 45TAC75BSUC10PN7B,,BÁ,
SZÉV2022-228,FALSE,IMP,05.09.,,0,,,M18080,MSG Kft.,LA-560/1100,Fő hajtáslánc fogaskerék,",,60T Gear for shaft E""",,BÁ,
SZÉV2022-229,TRUE,GYE,05.10,,,SZTORNÓ,,,SZÉV tartalék,,20db 30TAC csapágy tartalékba ,sztornó (taksony nem adhat),,DÁ,
SZÉV2022-230,TRUE,GYE,05.11.,,,05.23.,,M15277,First-Tech ,EmR-610,4db FAG HCS 7012-C-T-P4S-UL csapágy,,,DÁ,
SZÉV2022-231,TRUE,IMP,05.11.,,,,,M05006,Fire Control (Dendrit),TMV-850,Baumüller DAF 132 K-23A10-5 ventillátor,nem kérjük a ventillátort,,DÁ,
SZÉV2022-232,TRUE,GYE,05.11.,,0,05.13.,,M18019,PETRUS IPARI KERESKEDELMI ÉS SZOLGÁLTATÓ KFT.,EmR-1200D ,6db 30TAC62B csapágy,"(jó a 62C-s, a bekért 6db tartalék lesz)",,DÁ,
SZÉV2022-233,TRUE,GYE,05.11.,,,05.13.,,-,Esztergomi Szggy,-,"1db Japan 6207NSE C3, 1db England 6206DU NSK csapágy",Baumüller DSG-100S motorba,,DÁ,
SZÉV2022-234,FALSE,GYE,05.11.,,,,,,SZÉV tartalék,,SB-30 szűrő ,,,DÁ,
SZÉV2022-235,TRUE,LOG,05.13.,,1,05.13.,,M18328,DAK ACÉLSZERKEZETI KFT.,MANTO,Teljes ECAT lánc egységek,,,BÁ,
SZÉV2022-236,TRUE,IMP,05.13.,,0,07.05.,,M17228,RÁK ÉS RÁK BT.,MXS-300MT,biztonsági üveg árajánlat és méret,Az ÜF 615x895mm mért kerettel,,DÁ,
SZÉV2022-237,TRUE,LOG,05.16.,,1,05.17.,,M15277,First-Tech,EmR-610,AiS100-LW 26 H (D) (Nr.:CC2-10-113) csapágyazás,,,DÁ,
SZÉV2022-238,TRUE,GYE,05.16.,,1,05.17.,,M17237,GIA-FORM,MM-850,1 db Deublin 1109-020-188,,,LR,
SZÉV2022-239,TRUE,GYE,05.16.,,,05.18.,,M16306,AXICONT,LA-430/800,"szíj:  ""1733  LD / 13 x 1700 "" -3db",ÜF által leolvasott típus,,CsZ,
SZÉV2022-240,FALSE,ERA,05.17.,,0,,,M11302,HANTECH GÉPGYÁRTÓ ÉS FORGALMAZÓ ZRT.,Pinacho ST-310DT/2000,kábelek,teljes Z energiavezető átkábelezése,,BÁ,
SZÉV2022-241,TRUE,GYE,05.17.,,0,06.09.,,M15127,MVM NUKLEÁRIS KARBANTARTÓ,LT-52DT,2db - NN3018MBKRE44CC1P4                                  2db - 7020 A5TRDULP3,"Front: 2 db NSK7020 ACD/P4AQBCA vagy 2 db NTN 7020UADG/GNP42U3G vagy 2 db 7020 HVUJ7P4S
 Rear: 2 db NSK7018 ACD/P4AQBCA vagy 2 db NTN 7018UADG/GNP42U3G vagy 2 db 7018 HVUJ7P4S",,CsZ,
SZÉV2022-242,TRUE,GYE,05.19.,,,05.20.,,M13329,Krüger ,HG-400,1db NTN 51112 axiális golyóscsapágy ,,,DÁ,
SZÉV2022-243,TRUE,GYE,05.19.,,,05.26.,,,SZÉV tartalék,,8as induktív 5db NO-s 5db NC-s,,,DÁ,
SZÉV2022-244,TRUE,GYE,05.19.,,,,,8600041, Le Bélier,FNGJ-50,"1db Kuplung-tengelykapcsoló EZF 6,3 25H7 24V DC",árajánlat gye által,,DÁ,
SZÉV2022-245,TRUE,LOG,05.23.,,1,05.24.,,M09132,Medimetal,MM-760,1 db A9-54-30-EH/4096-Z,kúpos-reteszes tengelyvéggel,,LR,
SZÉV2022-246,TRUE,GYE,05.23.,,,05.26.,,,SZÉV tartalék,,2db Koyo 6203 RK 2db Koyo 6204 RK,,,DÁ,
SZÉV2022-247,TRUE,LOG,05.23.,,1,,,M13061,SPH,MM-760,,,,DÁ,
SZÉV2022-248,TRUE,ERA,05.24.,,0,05.26.,,,SZÉV tartalék,,LAN csatlakozók,"képen szereplő alkatrészek mindegyikéből 15 db (aljzat, hozzá ház, csatlakozó, hozzá burkolat)",,BÁ,
SZÉV2022-249,TRUE,GYE,05.24.,,0,09.19.,,M15196,VÁMOSGÉP KFT.,WFQ-80,"szíjtárcsák, szíj, szerszámoldás vezeték, rögzíthető anya",,,BÁ,
SZÉV2022-250,TRUE,GYE,05.24.,,,05.26.,,,SPH plusz kft.,,AiB8 kuplung,,,DÁ,
SZÉV2022-251,TRUE,GYE,05.26.,,,,,M04135,BLAUFORM kft.,Euroturn12B,400mm hosszú törlőgumi,,,DÁ,
SZÉV2022-252,TRUE,GYE,05.26.,,,06.24.,,M15127,MVM NUKLEÁRIS KARBANTARTÓ,LT-52DT,"1db 6309 LLB, 1db 6307 ZZ csapágy",,,DÁ,
SZÉV2022-253,TRUE,GYE,05.26.,,,05.30.,,M18007,SL-FORG,VD-510S,TOP-216HWMVD - 20BAR hidraulika szivattyú vagy kiváltó,motor típusa: Type 00243,,CsZ,
SZÉV2022-254,TRUE,GYE,05.27.,,0,05.30.,2022/000000641,M17131,FÉMO,KAFO CV-7A,1 db tengelykapcsolóra,d1=19 (Ai15 retesz nélküli motor); d2=20 (golyósorsó vége felöl); D=65; L=130,,LR,
SZÉV2022-255,TRUE,IMP,05.27.,,0,09.22.,,M20087,FORNAX 2002,SIMOS SCT-40,tartalék panelek,a csatolt képeken jelölt panelekere kérünk árajánlatot és szállítási határidőt,,DÁ,
SZÉV2022-256,TRUE,GYE,05.27.,,,05.30.,,,SZÉV tartalék,,5db 12-es NO-s és 5db 12-es NC-s induktív ,,,DÁ,
SZÉV2022-257,TRUE,GYE,05.27.,,,06.09.,,,NCT Taksony,,Royal 151330 főorsóba (20.000rpm) 2db 7008UC és 2db 7008UC GD2/GLP4 csapágy,,,DÁ,
