Iktatószám,Státusz,Felelős,Igény dátuma,Fizetendő,Gépállás,Teljesítés dátuma,Áttárolás száma,Msz,Megrendelő,Géptípus,Igény,Megjegyzés (email),Megjegyzés GYE
SZÉV2019-0284,0,GYE,07.15,,0,,,-,SZÉV,AiS100 10.000 rpm,régi AiS100 főmotor csapágykészletek,Igény: 10.000 rpm-et tudó csapágykészlet régifajta 3-csapágyas AiS100-ashoz,07.15. BD: a csapágyakat kézhez kaptam
SZÉV2019-0285,0,IMP,07.16,,0,10.31,"BET2019/04831
BET2019/04840",M11036,Grif-Tools,Eml-1020B,8YU főorsó+főmotor szíjtárcsa,Igény: 1 db 8YU főorsó + főmotor szíjtárcsa DAF100-ashoz 38-as tengelyre,NEM GYE HANEM IMPORT
SZÉV2019-0286,1,ERIKA,07.17,,0,,,-,SZÉV,-,"Harting cuccok, Weidmüller nyomó",,"07.22. BD: Harting cuccok bekerültek Fogarasira, hátralék: Weidmüller szerszám"
SZÉV2019-0287,0,GYE,07.18,,1,07.26,,M08128,Aptiv (Delphi),EmL-510,EmL-510 fékes tárforgató motor,"Igény: 1 db hengeres reteszes végű, fékes tárforgató motor",
SZÉV2019-0288,0,GYE; IMP,07.18,,0,09.10,,M07272,KM CNC,EmL-1020B,EmL-1020 8.000 rpm szíjas főorsó,Igény: 1 db komplett Royal 8.000 rpm 8YU profilú szíjas főorsó,"NEM GYE HANEM IMPORT
09.10. BD: bejött egy 10 000-es, 5GT-s orsó"
SZÉV2019-0289,0,GYE,07.19,,0,07.26,,M030048,Ecomatic (Gi-Flex),Kondia HM1060,Kondia HM1060 12.000 rpm főorsó csapágyazás,"Igény: 2 db FAG HCS7012-C-T-P4S-UL - 12.000 rpm, 2 db FAG HCS7014-C-T-P4S-UL) - 12.000 rpm
vagy ezekkel megegyező fordulatszámot vagy annál többet tudó csapágyak.",07.26. BD: beérkeztek a csapágyak
SZÉV2019-0290,0,GYE,07.19,,0,,,,ISD Dunaferr,,Deublin 902-120-188,,"08.15. BD: visszaküldjük Taksonyba, mert a forgóátvezető darabosan jár"
SZÉV2019-0291,1,IMP,07.22,,0,,,M16071,Alu-Parts Kft.,McB-1304D,McB-1304 szánvédő burkolat,"Igény: gépkönyv, parts list és Árajánlat 1 db hátsó ""Y"" harmónika szánvédő burkolatra",
SZÉV2019-0292,0,GYE,07.23,,1,08.13,2019/000000730,M17250,RAF METÁL KFT,TCS-2000L,Biztonsági üveg ragasztott 520x400x20,,
SZÉV2019-0293,0,GYE,07.23,,0,,,,Törner,TCS,reed-relé,,
SZÉV2019-0294,0,IMP,07.24,,0,08.13,,M09132,Medimetal,FCL460 (MM760),GSA CNCT-100 körasztal alkatrészek,,"08.13. BD: ajánlatkérés csigakerékre, csigatengelyre, szükség esetén tudjuk az árat"
SZÉV2019-0295,0,"GYE
SA",07.25,,0,,,M06082,Bocz-n,TNL120ALDT,forgácskihordójához tartozó kihordó lánc,,"Beküldtünk már egyet és visszajött? Nem volt jó vagy nem kellett?

NEM KÉRTE AZ ÜGYFÉL MERT DRÁGÁNAK TARTOTTA"
SZÉV2019-0296,0,GYE,07.26,,0,,2019/000000733,-,SZÉV,VD-510S,VD-510S 12.000 rpm főorsó csapágyak,Igény: 4 db (vagy 2 pár) 7008 UCG/GNP4 főorsó csapágy vagy ezzel megegyező tulajdonságú csapágyak,"08.14. BD: beérkeztek
4db Csapágy / HCS7008-C-T-P4S-UL,10-00037187-00,13j - Műhely motorok"
SZÉV2019-0297,0,GYE,07.29,,0,07.29,,M14129,MICROMARK,EmL-800B,1db vizipisztolyt postázni FIZ.,,
SZÉV2019-0298,0,GYE,07.29,,1,,,M15124,Dal-Tim,BM-25 Kekeisen,klíma kompresszor NE6213CK típusú (R404A gázhoz),,
SZÉV2019-0299,0,IMP,07.30,,0,,,M13060,Hantech,MM-760,Szerszámtár alkatrészek,,
SZÉV2019-0300,0,GYE,07.30,,0,07.31,,,FMF+SZÉV,,menetes push-ines szerelvények,,07.31. BD: beérkeztek
SZÉV2019-0301,0,"GYE, LOG",07.30,,0,07.31,2019/000000732,-,SZÉV,-,"AiS100 kuplung, jeladó tárcsa",2 db ROTEX GS 38 Feszítőgyűrűs agy 6.0 38H7,07.31. BD: kuplungok bejöttek
SZÉV2019-0302,1,BABETT,07.30,,1,,,,Dömötör,Snupy,Sauter 0.5.480.516 alkatrészek,,
SZÉV2019-0303,0,GYE,08.02,,0,08.09,,,SZÉV,,12 db 25TAC csapágy,,
SZÉV2019-0304,0,GYE,08.05,,0,10.01,,,Trimble,BF-1500,Rúdadagoló szelep + fojtó,,
SZÉV2019-0305,0,GYE,08.06,,0,08.09,,,Pro Form,,1 kanna ISO VG22 olaj ködkenéshez,,
SZÉV2019-0306,0,GYE,08.08,,1,08.08,2019/000000721,,Bíró Kft. ,Tajmac,1109-020-188 (hűtőbordás) Deublin,,
SZÉV2019-0307,0,GYE,08.09,,1,,,08.09,ISD Dunaferr,,904-120-188 Deublinhoz csatlakozó könyökelem,"M18x1,5 külső menetes - 3/8"" külső menetes 90°-os peremen tömítő",
SZÉV2019-0308,1,"IMP, BABETT",08.12,,1,,,M04135,BLAUFORM,Euroturn-12B,Ortlieb patrontokmány alkatrész,,
SZÉV2019-0309,0,GYE,08.13,,0,09.18,,,NCT,Euroturn-12C,Euroturn-12C főorsó csapágyak,"- 2 db FAG B7016-E-T-P4S-UL
- 2 db FAG B7017-E-T-P4S-UL",09.18. BD: beérkeztek
SZÉV2019-0310,0,GYE,08.15,,0,08.22,2019/000000747,-,Trimble,TNL-100AL,BF-1500 rúdadagoló levegőelőkészítő,"Igény: Airtac levegőelőkészítő és vízlecsapató (BL-2000?) 

Megjegyzés: az Ügyfél gépén a vízlecsapató rossz. Szeretnénk kérni a képen láthatóval megegyező vagy ahhoz hasonló levegőelőkészítőt vagy külön a vízlecsapatót. Csatlakozások: 1/4""",
SZÉV2019-0311,0,GYE,08.15,,0,08.16,,-,SZÉV,VD-510S,VD-510S főorsó tányérrugók,Igény: 60 db Ø12.20 x Ø28.00 x 1.50 DIN 2093 tányérrugó,08.16. BD: megkaptuk
SZÉV2019-0312,0,IMP,08.22,,0,10.24,,M16051,Goodwill Trade,TCS-2000DT,Baruffaldi kuplung tömítések,"Igény: 1 db tömítéskészlet hajtott szerszám kuplungegységéhez

Megjegyzés: a korábban ehhez a revfejhez rendelt kuplunghoz rendelnénk tömítést.
Levelezés a kuplungról: SZÉV2019-0108 IMPORT Igény - Baruffaldi TBHMA-200 (TCS-2000DT) javítás",10.24. BD: beérkeztek
SZÉV2019-0313,0,IMP,08.23,,0,,,-,SZÉV,Kondia B-1050,Panasonic M9RZ szerszámtár motor,"Tárforgató motor: Panasonic M9RZ90GK4GG1
Hajtómű: Panasonic MY9G15B
Igény: Árajánlat 5-5 db motorra és hajtóműre",
SZÉV2019-0314,1,IMP,08.23,,0,,,-,SZÉV,Kondia B-1050,Tung Lee 5GU szerszámtár motor,"Gépépítőelem: szerszámtár forgató motor és hajtómű
Tárforgató motor: Tung Lee 5RK90GU-S
Hajtómű: Tung Lee 5GU-12.5K , illetve 5GU-15K
Igény: Árajánlat 5-5 db motorra és hajtóműre",
SZÉV2019-0315,1,IMP,08.23,,1,,,M07129,Bombardier,CME FS-6,FS-6 szögfej tömítéskészlet,Igény: Árajánlat komplett főorsó tömítéskészletre,
SZÉV2019-0316,0,IMP,08.23,,0,10.24,,-,SZÉV,Sauter revfej,Ívelt T-anya,Igény: 10 db M8-as menetű ívelt T-anya,10.24. BD: beérkeztek
SZÉV2019-0317,0,IMP,08.23,,0,,,-,SZÉV,Kafo SV-1000,Olajos ködkenés és tartozékai,,
SZÉV2019-0318,0,IMP,08.26,,0,,,M11343,Győri Műszaki Szakképzési Centrum Jedlik SZKI,EmL-250,Igény: 5 db 450-5GT-20 szíj,,
SZÉV2019-0319,0,GYE,08.26,,0,08.27,,M05105,ProForm,K-B640,"""Y"" golyósorsó","10-00016557-00 - Golyósorsó / 32x10R 565/1163,5 (AFV-AZV)/3 előfeszített anyapárral
(Kondia B640)",Beérkezett
SZÉV2019-0320,0,GYE,08.26,,0,08.27,,M17237,Gia-Form,MM-800SV,20 bar-os CTS vízszűrő,,08.27. BD: beérkezett
SZÉV2019-0321,1,IMP,08.27,,0,,,M15204,Wellmach-Group Kft,SC-32,SC-32 főorsó vonócső,"Igény: Árajánlat 1 db vonócsőre, lásd [4.24] Draw Bar a mellékelt gépkönyvi ábrán, illetve csatolt képen az alkatrész",
SZÉV2019-0322,0,GYE,08.27,,0,08.30,,M18169,MAGYARMET KFT,MXS-650DD,levegőelőkészítő egységének olajzó csészéje kellene,SOS,
SZÉV2019-0323,0,GYE,08.28,,0,08.30,,M08210,Gömbölyítő Kft.,Smart-42,BF-1500 rúdadagoló levegőelőkészítő,"Igény: 1 db visszacsapó szelep, 6-os levegőcsőhöz, 3/8""-os menetes véggel (lásd képen)","08.30. BD: megkaptuk, köszönjük!"
SZÉV2019-0324,1,IMP,09.02,,0,,,-,SZÉV,-,920-8YU-30 szíjak,,
SZÉV2019-0325,0,IMP,09.02,,0,02.06,,M16031,MICROMARK,TCS-2500LDT,Vízszintjelző Tong-Tai,Igény: 10 db Vízszintjelző szenzor MPFILTRI LEN A200-1-A-1-A/F-S (LS1-200(170B),
SZÉV2019-0326,0,LOG,09.04,,0,09.09,"2019/000000814 csapágyak
2019/000000827 deublin",M13139,Helti Kft,EmR-1020D,"AiS132 tekercselés, csapágyazás",,"09.09. BD: csapágyak bejöttek
09.25. jeladó burkolat is beérkezett"
SZÉV2019-0327,0,GYE,09.04,,0,09.05,,M18050,Gia-Form,Proth PSGC-50100AHR,SMC vízleválasztó,Igény: 1 db SMC AF20-F02-A levegőelőkészítő egység vízlecsapató része,09.05. BD: beérkezett
SZÉV2019-0328,1,IMP,09.05,,1,,,M05047,Manz,TNL-100AL,TNL-100 Komplett főorsó,Igény: árajánlat 1 db komplett A2-6 4500 1/min főorsóra,
SZÉV2019-0329,0,"GYE
SA",09.05,,0,10.22,,-,Szimikron,ERI-250,DropsA kenőtáp szintkapcsoló,,Euroscale - ÁRAJÁNLAT - SZÉV2019-0329 - Dropsa kenőtáp szintkapcsoló
SZÉV2019-0330,0,IMP,09.05,,0,,,M14106,Schön&Sandt,Pinacho ST-180/1000,,"Igény: 1 pc [21] Coolant poppet, 1 pc [129] Coolant Spring Seat, 1 pc [130] Poppet Seal",
