SZÉV igény szám,Státusz,Felelős,Igény dátuma,Fizetendő,Gépállás,Teljesítés dátuma,Áttárolás/Betárolás száma,Msz,Megrendelő,Géptípus,Igény,Megjegyzés (email) ,Megjegyzés,Igénylő
SZÉV2023-244,TRUE,IMP,08.29.,,0,,,M11015,S C. CIOCEPROD S.R.L (volt SC. ELECTROCONFECT),TMV-510,Csapágyak? Szivattyú / JW-4 Strong Coolant pump 220/380V,10-10000034-00,,CsZ
SZÉV2023-245,TRUE,GYE,08.29.,,,08.30.,2023/000000763,M15099,TOP HOLDING ZRT.,EmL-1020B,"1db 870-5GT szíj
56db 40x20.5x2,45 tányérrugó
4db NTN 2317 hseo14ct2g/g3p4",,,DÁ
SZÉV2023-246,TRUE,IMP,08.31.,,0,10.11.,BET2023/03378,M09033,CONSYSTEC GMBH,JSL-32ABMS,Fogaskerék 90 fokos áthajtáshoz MGHR+8 / Fogaskerék 90 fokos áthajtáshoz MGHL+8,10-00006795-00 + 10-00006796-00,2-2db,CsZ
SZÉV2023-247,TRUE,GYE,09.01.,,0,,,M15261,SL-FORG,MM-760, Biztonsági üveg ragasztott 670x730x15,10-10001170-00,3db,CsZ
SZÉV2023-248,TRUE,GYE,09.04.,,1,10.06.,,M18004,Profimill,VD-510,4 db 5S 7008UCGD2/GLP4 főorsó csapágy 20.000 rpm főorsóhoz,vagy 4 db NSK 7008CTRSULP3,,
SZÉV2023-249,TRUE,LOG,09.06,,0,03.21.,,,SZÉV tartalék,,"19"" érintőképernyő (NCT2XX)","TOUCH_PANEL_19""_RESISTIVE_AST-190A140A,20-00004264-00",25,CsZ
SZÉV2023-250,TRUE,GYE,09.06.,,0,09.06.,,,Bing Power Origin ,Topper BF1500,"10-00026632-00,Tartalék / BF rúdadagoló / Pneumatikus szelep",3db,1db jött,CsZ
SZÉV2023-251,TRUE,GYE,09.07.,,0,09.08.,,,CSABA METÁL ZRT.,,Geka Ideal nikkelezett állítható fejű és végű pisztoly műanyaggal bevont házzal bliszteres (740X),10-00001135-00,5db,CsZ
SZÉV2023-252,TRUE,GYE,09.07.,,0,,,,SZÉV tartalék,,"FBS sziló színtelen 10 db
hő- és olajálló sziló fekete 5 db
11-es kesztyű 10 pár",,ezt már beküldük ,HA
SZÉV2023-253,TRUE,GYE,,,,03.05.,,,Pi Dental,,klímacső,,,
