Igényszám,Státusz,Felelős,Igény dátuma,Fizetendő,Gépállás,Teljesítés dátuma,Áttárolás száma,Msz,Megrendelő,Géptípus,Igény,Megjegyzés (email),Megjegyzés GYE
SZÉV2020-0336,TRUE,IMP,11.06.,,0,11.30.,,M05050,Albert Kft.,TMV-510T,"""X"" golyósorsó // TMV-510T",,
SZÉV2020-0337,TRUE,GYE,11.06.,,0,11.06.,SZTORNO,M15086,Industribedarf Krüger,HG-400 (V.) (006),Állórész tekercs beemelő szerkezet // HG-400,,
SZÉV2020-0338,TRUE,IMP,11.06.,,1,10.26.,,M17147/P18054,S.C. Metagalax,Smart S8,"""Z"" vezetékvédő + teleszkóp // Smart S8",,
SZÉV2020-0339,FALSE,BABETT,11.09,,1,,,-,SZÉV,Baruffaldi fejek,Baruffaldi revfej javítókészletek,,
SZÉV2020-0340,TRUE,GYE,11.09.,,0,12.14.,,M10116,Varrivál Kft.,VMC-1600F,Főmotor szíjtárcsa átmunkálás,,
SZÉV2020-0341,TRUE,"GYE,SZÉV",11.10.,,0,12.14.,,M13236,Hajdu Autotechnika,ZD-750,Dropsa Smart 2 kenőtáp,,
SZÉV2020-0342,TRUE,LOG,11.10.,,0,11.11.,,M05050,Albert Kft.,TMV-510T,A3-54-30-EH/4096-Z kúpos // TMV-510,,
SZÉV2020-0343,TRUE,IMP,11.12.,,0,03.10.,,M11016,MSK Hungary,JCL-75TSM,Ellenorsó védőburkolat // JCL-75TSM,,
SZÉV2020-0344,TRUE,IMP,11.12.,,0,11.16.,,M19173,MSK Hungary,Euromill-3000,Euromill-3000 főhajtás szíj,,
SZÉV2020-0345,TRUE,IMP,11.12.,,1,12.11.,,M13029,Hajdu Autotechnika,Proth PSGC-50100AHR,Vezeték védőburkolat // Proth PSGC-50100AHR,,
SZÉV2020-0346,TRUE,GYE,11.13.,,0,11.25.,SZR2020/04006,-,SZÉV,-,Belső menetes push-in levegőcsatlakozók,,
SZÉV2020-0347,TRUE,IMP,11.16.,,0,01.07.,,M18169,Magyarmet,MXS-650DD,Tárajtó mozgató munkahenger // VU-620,,
SZÉV2020-0348,FALSE,IMP,11.16.,,1,,,P19020/M17228,Rák&Rák,MXS-300MT,Főorsó csapágyak // MXS-300MT,,
SZÉV2020-0349,TRUE,GYE,11.19.,,0,11.23.,,M14287,Duna Precizíós,EmR-610D,AiS100 15.000 csapágyazás // EmR-610D,,
SZÉV2020-0350,TRUE,IMP,11.19.,,0,1.18.,,M09133,Salv-Metal,BNC-1640,"""X"" hajtás elemek // BNC-1640",,
SZÉV2020-0351,TRUE,GYE,11.19.,,0,,,M14221,Medres Kft.,VD-510S,Szerszámtár csapágyak // VD-510S,,
SZÉV2020-0352,TRUE,GYE,11.20.,,0,,2020/000000993,-,Juhász Műhely,CME FS-4,Lábpedál kiépítés // CME FS-4,,
SZÉV2020-0353,TRUE,IMP,11.23.,,0,03.11.,,M11230,Bombardier,AXA VSC-3-5000,Behúzó köröm // AXA VSC-3,,
SZÉV2020-0354,TRUE,GYE,11.24.,,0,,,M17182,Dantom,EmL-800B,Főorsó csere // EmL-800B,,
SZÉV2020-0355,TRUE,GYE,11.25.,,0,01.22.,,M16021,Litze PCE,CHM-16 belső sorjázó,"""Y"" tengely javítás // CHM-16 sorjázó",,
SZÉV2020-0356,FALSE,GYE,11.25.,,1,,,M15086,Industribedarf Krüger,HG-400 (V.) (006),Átvezető persely főorsó homlokba // HG-400,,
SZÉV2020-0357,TRUE,GYE,11.25.,,1,02.17.,2020/000001020,M18170,MST Engineering,MXS-300MT,AiS100 15.000 rpm - M18170 MXS-300MT,,
SZÉV2020-0358,TRUE,GYE,11.26.,,0,11.27.,,M15086,Industribedarf Krüger,HG-400 (V.) (006),Főorsó hengergörgős csapágy // HG-400,,
SZÉV2020-0359,TRUE,GYE,11.27.,,1,,,M15086,Industribedarf Krüger,HG-400 (V.) (006),HG-400 főorsó vízbevezetés,,
SZÉV2020-0360,FALSE,GYE,11.30.,,0,,,M18180/P18506,DGA,BMC-2012,Golyósorsó csapágyak // BMC-2012,,
SZÉV2020-0361,TRUE,"IMP, GYE",12.03,,0,12.08.,,M13167/M19095/P19063,Magyarmet,HT-92DT,Ajtó megvezető csúszka // HT-92,,
SZÉV2020-0362,TRUE,GYE,12.04.,,0,12.17.,,-,SZÉV,-,"SZÉV készlet - SMC levegőszelepek, csatlakozók",,
SZÉV2020-0363,FALSE,"GYE, LOG",12.04.,,0,,,-,SZÉV,-,SZÉV tartalék - AiS100 15.000 rpm,,
SZÉV2020-0364,TRUE,IMP,12.07.,,0,05.10.,,M10143,FMF,EmB-1104G,"""Y"" első védőburkolat, forgó ablak // EmB-1104",,
SZÉV2020-0365,TRUE,IMP,12.07.,,0,03.10.,,-,SZÉV,-,JSL tartalék alkatrészek,,
SZÉV2020-0366,TRUE,LOG,12.07.,,0,12.16.,,M04152,Albert Kft.,TNL-100A2,Baumüller DAF132L tekercselés,,
SZÉV2020-0367,TRUE,IMP,12.07.,,0,01.01.,,M18243/P19084,Petrus,MXS-650DD,Habor szekrényklíma // MXS-650DD,,
SZÉV2020-0368,FALSE,IMP,12.07.,,1,,,M17066,Dendrit Mentor,KFO-620-5TT,Habor olajhűtő // KFO-620,,
SZÉV2020-0369,TRUE,GYE,12.10.,,0,12.12.,,M14167,Industribedarf Krüger,HG-400 [IV.][016],Vízbevezetés csapágyai // HG-400 [IV.][016],,
SZÉV2020-0370,FALSE,IMP,12.14.,,0,,,-,SZÉV,-,Yuken DSG-2D2-24V hidraulika szelep,,
SZÉV2020-0371,TRUE,GYE,12.14.,,0,12.22.,,-,SZÉV,-,"Mérőhasábok, mérőhasáb készlet",,
SZÉV2020-0372,TRUE,GYE,12.14.,,0,03.08.,,-,SZÉV,Baruffaldi TBMA-100,Hajtott szerszám dugattyú // TBMA-100,,
SZÉV2020-0373,TRUE,IMP,12.16.,,0,03.08.,,M05089,Biotech,Kondia B-640,GSA CNC-201R körasztal javítókészlet,,
SZÉV2020-0374,TRUE,ERA,12.16.,,0,01.29.,,M13283,Dentisystem,EEN-320,Weidmüller csatlakozó betétek,,
SZÉV2020-0375,FALSE,BABETT,12.17.,,0,,,M16199,Brooks Instruments,Index GS-65,Hidraulikus meghúzó // Index GS-65,,
SZÉV2020-0376,TRUE,IMP,12.22.,,0,01.08.,,M16265,S&S,TCS-2500L,Főorsó csapágyak,,
